"camis","dba","boro","cuisine_description","inspection_date","critical_flag","score","grade","grade_date","inspection_type"
"50180644","PEEK IN CAFE","Brooklyn","Korean","2026-02-21T00:00:00.000","Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50107252","CARVEL","Brooklyn","Frozen Desserts","2026-02-21T00:00:00.000","Critical","5","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50179985","Forefathers Chicken Madness","Brooklyn","Chicken","2026-02-21T00:00:00.000","Critical","10","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50152524","UNCUTT BAR & RESTAURANT","Brooklyn","American","2026-02-21T00:00:00.000","Not Critical","12","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50152524","UNCUTT BAR & RESTAURANT","Brooklyn","American","2026-02-21T00:00:00.000","Critical","12","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50165726","COCINA MI ENCANTO","Staten Island","Other","2026-02-21T00:00:00.000","Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50165726","COCINA MI ENCANTO","Staten Island","Other","2026-02-21T00:00:00.000","Not Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50180644","PEEK IN CAFE","Brooklyn","Korean","2026-02-21T00:00:00.000","Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50180829","BOB'S NOODLE","Queens","Chinese","2026-02-21T00:00:00.000","Not Critical","13","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"41600900","PANDA GARDEN RESTAURANT","Brooklyn","Chinese","2026-02-21T00:00:00.000","Critical","13","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50059239","RUZANA","Brooklyn","Mediterranean","2026-02-21T00:00:00.000","Critical","10","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"41600900","PANDA GARDEN RESTAURANT","Brooklyn","Chinese","2026-02-21T00:00:00.000","Critical","13","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"41629000","GINO'S RESTAURANT & PIZZERIA","Brooklyn","Italian","2026-02-21T00:00:00.000","Not Critical","9","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50180644","PEEK IN CAFE","Brooklyn","Korean","2026-02-21T00:00:00.000","Not Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50180829","BOB'S NOODLE","Queens","Chinese","2026-02-21T00:00:00.000","Not Critical","13","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50174187","DRAGON KING","Bronx","Chinese","2026-02-21T00:00:00.000","Not Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Re-inspection"
"41629000","GINO'S RESTAURANT & PIZZERIA","Brooklyn","Italian","2026-02-21T00:00:00.000","Not Critical","9","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50174187","DRAGON KING","Bronx","Chinese","2026-02-21T00:00:00.000","Not Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Re-inspection"
"50075658","PEKING CHINESE RESTAURANT","Queens","Chinese","2026-02-21T00:00:00.000","Critical","12","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50174187","DRAGON KING","Bronx","Chinese","2026-02-21T00:00:00.000","Critical","12","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Re-inspection"
"41481377","MADERA","Queens","Latin American","2026-02-21T00:00:00.000","Critical","12","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50059239","RUZANA","Brooklyn","Mediterranean","2026-02-21T00:00:00.000","Critical","10","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50180829","BOB'S NOODLE","Queens","Chinese","2026-02-21T00:00:00.000","Critical","13","A","2026-02-21T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"50075658","PEKING CHINESE RESTAURANT","Queens","Chinese","2026-02-21T00:00:00.000","Not Critical","12","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"41481377","MADERA","Queens","Latin American","2026-02-21T00:00:00.000","Not Critical","12","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"41166072","QUIJOTE","Queens","Latin American","2026-02-21T00:00:00.000","Critical","5","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"41629000","GINO'S RESTAURANT & PIZZERIA","Brooklyn","Italian","2026-02-21T00:00:00.000","Critical","9","A","2026-02-21T00:00:00.000","Cycle Inspection / Initial Inspection"
"50051436","GERSI","Brooklyn","Italian","2026-02-20T00:00:00.000","Critical","13","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50013581","MARKET PLACE @ 9TH","Manhattan","Fusion","2026-02-20T00:00:00.000","Critical","11","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50007973","GOOD TASTE","Queens","Caribbean","2026-02-20T00:00:00.000","Critical","13","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50180483","HAWA LES","Manhattan","Juice, Smoothies, Fruit Salads","2026-02-20T00:00:00.000","Critical","7","A","2026-02-20T00:00:00.000","Pre-permit (Operational) / Initial Inspection"
"41277596","BURGER KING","Queens","Hamburgers","2026-02-20T00:00:00.000","Critical","8","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50115306","POKEBOWL STATION","Staten Island","Hawaiian","2026-02-20T00:00:00.000","Critical","11","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50105860","POPEYES","Queens","American","2026-02-20T00:00:00.000","Critical","7","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50007973","GOOD TASTE","Queens","Caribbean","2026-02-20T00:00:00.000","Not Critical","13","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"41696737","DUNKIN","Queens","Donuts","2026-02-20T00:00:00.000","Critical","7","A","2026-02-20T00:00:00.000","Cycle Inspection / Re-inspection"
"41701514","DUNKIN","Queens","Donuts","2026-02-20T00:00:00.000","Not Critical","9","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"41699397","JUICY CUBE","Manhattan","Juice, Smoothies, Fruit Salads","2026-02-20T00:00:00.000","Not Critical","8","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50065986","TWISTED ROOTZ","Brooklyn","Juice, Smoothies, Fruit Salads","2026-02-20T00:00:00.000","Critical","11","A","2026-02-20T00:00:00.000","Cycle Inspection / Re-inspection"
"50065986","TWISTED ROOTZ","Brooklyn","Juice, Smoothies, Fruit Salads","2026-02-20T00:00:00.000","Not Critical","11","A","2026-02-20T00:00:00.000","Cycle Inspection / Re-inspection"
"50002807","DUNKIN","Bronx","Donuts","2026-02-20T00:00:00.000","Not Critical","11","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50101746","LA GRAN NAGUA BAKERY","Brooklyn","Bakery Products/Desserts","2026-02-20T00:00:00.000","Critical","9","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50155565","LAS PATRONAS","Queens","Mexican","2026-02-20T00:00:00.000","Not Critical","10","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50152632","L.M CAFE","Queens","Coffee/Tea","2026-02-20T00:00:00.000","Not Critical","4","A","2026-02-20T00:00:00.000","Cycle Inspection / Re-inspection"
"50115306","POKEBOWL STATION","Staten Island","Hawaiian","2026-02-20T00:00:00.000","Not Critical","11","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
"50156290","THE GRAPE LEAF","Brooklyn","Middle Eastern","2026-02-20T00:00:00.000","Critical","12","A","2026-02-20T00:00:00.000","Cycle Inspection / Initial Inspection"
